Institution ,  Course ,  Type ,  Study  Mode ,  Foundation  Year(s) ,  Sandwich  Year(s) ,  Total  years ,  Salary  (6  months  after) ,  Median  Tariff
10007849,Accounting  and  Finance,BA,FullTime,0,0,4,19000,170.0
10007849,Biomedical  Sciences,BSc,FullTime,0,0,4,20000,156.0
10007849,Business  and  Human  Resource  Management,BA,FullTime,0,0,4,19000,154.0
10007849,Business  Management,BA,FullTime,0,0,4,19000,128
10007849,Computer  Arts,BA,FullTime,0,0,4,17000,176
10007849,Computer  Game  Applications  Development,BSc,FullTime,0,0,4,17000,156.5
10007849,Computer  Games  Technology,BSc,FullTime,0,0,4,17000,195.75
10007849,Computing,BSc,FullTime,0,0,4,23000,154.0
10007849,Criminology,BA,FullTime,0,0,4,17000,144
10007849,Ethical  Hacking,BSc,FullTime,0,0,4,23000,151.5
10007849,Fitness  Nutrition  and  Health,BSc,FullTime,0,0,4,18000,155.25
10007849,Food  and  Consumer  Sciences,BSc,FullTime,0,0,4,18000,155.25
10007849,Food  Nutrition  and  Health,BSc,FullTime,0,0,4,18000,151.5
10007849,Forensic  Sciences,BSc,FullTime,0,0,4,17000,144
10007849,Game  Design  and  Production  Management,BA,FullTime,0,0,4,17000,144
10007849,Management  and  the  Games  Industry,BA,FullTime,0,0,4,19000,154.0
10007849,Marketing  and  Business,BA,FullTime,0,0,4,19000,166.0
10007849,Nursing  (Mental  Health  Nursing),BSc,FullTime,0,0,4,22000,107.25
10007849,Psychology,BSc,FullTime,0,0,4,17000,179.0
10007849,Psychology  and  Counselling,BSc,FullTime,0,0,4,17000,167.5
10007849,Psychology  and  Forensic  Biology,BSc,FullTime,0,0,4,17000,162.14285714285714
10007849,Psychology  and  Human  Resource  Management,BSc,FullTime,0,0,4,17000,172.0
10007849,Social  Science,BA,FullTime,0,0,4,17000,149.0
10007849,Sociology,BA,FullTime,0,0,4,17000,149.0
10007849,Sound  and  Music  for  Games,BA,FullTime,0,0,2,17000,160
10007849,Sport  and  Exercise,BSc,FullTime,0,0,4,18000,144
10007849,Sport  and  Management,BA,FullTime,0,0,4,18000,112
10007849,Sport  and  Psychology,BSc,FullTime,0,0,4,18000,137.0
10000163,Chiropractic,MChiro,FullTime,1,0,4,24000,131.46153846153845
10000291,Abnormal  and  Clinical  Psychology,BSc,FullTime,0,0,3,18000,108.0
10000291,Accounting  and  Finance,BSc,FullTime,0,2,4,21000,71.5
10000291,Accounting  and  Finance,BSc,FullTime,0,0,3,21000,73.0
10000291,Accounting  and  Finance,BSc,PartTime,0,0,,29000,0
